"id","code","input","gold_output","M_output","M_confidence","M_Correctness","P_output","P_confidence","P_Correctness","Q_output","Q_confidence","Q_Correctness","M_output_d1","M_confidence_d1","M_Correctness_d1","P_output_d1","P_confidence_d1","P_Correctness_d1","Q_output_d1","Q_confidence_d1","Q_Correctness_d1","M_output_d2","M_confidence_d2","M_Correctness_d2","P_output_d2","P_confidence_d2","P_Correctness_d2","Q_output_d2","Q_confidence_d2","Q_Correctness_d2","M_output_d3","M_confidence_d3","M_Correctness_d3","P_output_d3","P_confidence_d3","P_Correctness_d3","Q_output_d3","Q_confidence_d3","Q_Correctness_d3","M_output_d4","M_confidence_d4","M_Correctness_d4","P_output_d4","P_confidence_d4","P_Correctness_d4","Q_output_d4","Q_confidence_d4","Q_Correctness_d4"
"sample_109","def f(nums, spot, idx):
    nums.insert(spot, idx)
    return nums","[1, 0, 1, 1], 0, 9","[9, 1, 0, 1, 1]","[9, 1, 0, 1, 1]","1.0","CORRECT","[9, 1, 0, 1, 1]","1.0","CORRECT","","0.5","INCORRECT","[9, 1, 0, 1, 1]","1.0","CORRECT","[9, 1, 0, 1, 1]","1.0","CORRECT","","0.5","INCORRECT","[9, 1, 0, 1, 1]","1.0","CORRECT","[9, 1, 0, 1, 1]","1.0","CORRECT","","0.5","INCORRECT","[9, 1, 0, 1, 1]","1.0","CORRECT","[9, 1, 0, 1, 1]","1.0","CORRECT","","0.5","INCORRECT","[9, 1, 0, 1, 1]","1.0","CORRECT","[9, 1, 0, 1, 1]","1.0","CORRECT","","0.5","INCORRECT"
"sample_110","def f(text):
    a = ['']
    b = ''
    for i in text:
        if not i.isspace():
            a.append(b)
            b = ''
        else:
            b += i
    return len(a)","""       ""","1","1","1.0","CORRECT","1","1.0","CORRECT","","0.5","INCORRECT","1","1.0","CORRECT","1","1.0","CORRECT","","0.5","INCORRECT","1","1.0","CORRECT","1","1.0","CORRECT","","0.5","INCORRECT","1","1.0","CORRECT","1","1.0","CORRECT","","0.5","INCORRECT","1","1.0","CORRECT","1","1.0","CORRECT","","0.5","INCORRECT"
"sample_111","def f(marks):
    highest = 0
    lowest = 100
    for value in marks.values():
        if value > highest:
            highest = value
        if value < lowest:
            lowest = value
    return highest, lowest","{'x': 67, 'v': 89, '': 4, 'alij': 11, 'kgfsd': 72, 'yafby': 83}","(89, 4)","(89, 4)","1.0","CORRECT","89, 4","1.0","CORRECT","","0.5","INCORRECT","(89, 4)","1.0","CORRECT","(89, 4)","1.0","CORRECT","","0.5","INCORRECT","(89, 4)","1.0","CORRECT","(89, 4)","1.0","CORRECT","","0.5","INCORRECT","(89, 4)","1.0","CORRECT","(89, 4)","1.0","CORRECT","","0.5","INCORRECT","(89, 4)","1.0","CORRECT","(89, 4)","1.0","CORRECT","","0.5","INCORRECT"
"sample_112","def f(sentence):
    ls = list(sentence)
    for letter in ls:
        if not letter.istitle():
            ls.remove(letter)
    return ''.join(ls)","'XYZ LittleRedRidingHood LiTTleBIGGeXEiT fault'","'XYZLtRRdnHodLTTBIGGeXET fult'","XLRLRHTLBGXET","1.0","INCORRECT","XLRH","1.0","INCORRECT","","0.5","INCORRECT","XLRLRHTLBGXET","1.0","INCORRECT","XLRH","0.9","INCORRECT","","0.5","INCORRECT","XLRLRHTLBGXET","1.0","INCORRECT","XLRH","0.95","INCORRECT","","0.5","INCORRECT","XLRLRHTLBGXET","1.0","INCORRECT","XLRH","0.9","INCORRECT","","0.5","INCORRECT","XLRLRHTLBGXET","1.0","INCORRECT","XLRH","0.95","INCORRECT","","0.5","INCORRECT"
"sample_113","def f(line):
    count = 0
    a = []
    for i in range(len(line)):
        count += 1
        if count%2==0:
            a.append(line[i].swapcase())
        else:
            a.append(line[i])
    return ''.join(a)","""987yhNSHAshd 93275yrgSgbgSshfbsfB""","'987YhnShAShD 93275yRgsgBgssHfBsFB'","987YHnshAShD 93275YrGsGbGsShFbSfB","1.0","CORRECT","98s7YHnshAHSHD 9s3275YRgsgbGsSHFBsf","1.0","INCORRECT","","0.5","INCORRECT","987YHnshAShD 93275YrGsGbGsShFbSfB","1.0","CORRECT","98s7YHnshAShD 9s3275YRgSgBsHfBsFb","0.9","INCORRECT","","0.5","INCORRECT","987YHnshAShD 93275YrGsGbGsShFbSfB","1.0","CORRECT","98s7YHnshAShD 9s3275YrGsGbShFbSfB","0.95","INCORRECT","","0.5","INCORRECT","987YHnshAShD 93275YrGsGbGsShFbSfB","1.0","CORRECT","98s7YHnshAShD 9s3275YrGsGbShFbSfB","0.95","INCORRECT","","0.5","INCORRECT","987YHnshAShD 93275YrGsGbGsShFbSfB","1.0","CORRECT","98s7YHnshAShD 9s3275YrGsGbShFbSfB","0.95","INCORRECT","","0.5","INCORRECT"
"sample_114","def f(text, sep):
    return text.rsplit(sep, maxsplit=2)","""a-.-.b"", ""-.""","['a', '', 'b']","['a', '-', '.b']","1.0","INCORRECT","['a', '.', 'b']","1.0","INCORRECT","","0.5","INCORRECT","['a', '-', '.b']","1.0","INCORRECT","['a', '.', 'b']","1.0","INCORRECT","","0.5","INCORRECT","['a', '-', '.b']","1.0","INCORRECT","['a', '.', 'b']","1.0","INCORRECT","","0.5","INCORRECT","['a', '-', '.b']","1.0","INCORRECT","['a', '.', 'b']","1.0","INCORRECT","","0.5","INCORRECT","['a', '-', '.b']","1.0","INCORRECT","['a', '.', 'b']","1.0","INCORRECT","","0.5","INCORRECT"
"sample_115","def f(text):
    res = []
    for ch in text.encode('utf-8'):
        if ch == 61:
            break
        if ch == 0:
            pass
        res.append(f'{ch}; '.encode('utf-8'))
    return b''.join(res)","'os||agx5'","b'111; 115; 124; 124; 97; 103; 120; 53; '","b'4f; 73; 7c; 7c; 61; 67; 78; 35; '","1.0","INCORRECT","b'111; 111; 111; 61; '","1.0","INCORRECT","","0.5","INCORRECT","b'4f; 73; 7c; 7c; 61; 67; 78; 35; '","1.0","INCORRECT","b'111; 111; 111; 61; '","1.0","INCORRECT","","0.5","INCORRECT","b'4f; 73; 7c; 7c; 61; 67; 78; 35; '","1.0","INCORRECT","b'111; 111; 111; 61; '","1.0","INCORRECT","","0.5","INCORRECT","b'4f; 73; 7c; 7c; 61; 67; 78; 35; '","1.0","INCORRECT","b'111; 111; 111; 61; '","1.0","INCORRECT","","0.5","INCORRECT","b'4f; 73; 7c; 7c; 61; 67; 78; 35; '","1.0","INCORRECT","b'111; 111; 111; 61; '","1.0","INCORRECT","","0.5","INCORRECT"
"sample_116","def f(d, count):
    for i in range(count):
        if d == {}:
            break
        d.popitem()
    return d","{}, 200","{}","{}","1.0","CORRECT","{}","1.0","CORRECT","","0.5","INCORRECT","{}","1.0","CORRECT","{}","1.0","CORRECT","","0.5","INCORRECT","{}","1.0","CORRECT","{}","1.0","CORRECT","","0.5","INCORRECT","{}","1.0","CORRECT","{}","1.0","CORRECT","","0.5","INCORRECT","{}","1.0","CORRECT","{}","1.0","CORRECT","","0.5","INCORRECT"
"sample_117","def f(numbers):
    for i in range(len(numbers)):
        if numbers.count('3') > 1:
            return i
    return -1","""23157""","-1","1","1.0","INCORRECT","","1.0","INCORRECT","","0.5","INCORRECT","1","1.0","INCORRECT","-1","1.0","CORRECT","","0.5","INCORRECT","1","1.0","INCORRECT","1","1.0","INCORRECT","","0.5","INCORRECT","1","1.0","INCORRECT","1","1.0","INCORRECT","","0.5","INCORRECT","1","1.0","INCORRECT","1","1.0","INCORRECT","","0.5","INCORRECT"
"sample_118","def f(text, chars):
    num_applies = 2
    extra_chars = ''
    for i in range(num_applies):
        extra_chars += chars
        text = text.replace(extra_chars, '')
    return text","'zbzquiuqnmfkx', 'mk'","'zbzquiuqnmfkx'","zbzquiuqnmfkx","1.0","CORRECT","zbzquiuqnmfx","1.0","INCORRECT","","0.5","INCORRECT","zbzquiuqnmfx","1.0","INCORRECT","zbzquiuqnmfx","0.9","INCORRECT","","0.5","INCORRECT","zbzquiuqnmfx","1.0","INCORRECT","zbzquiuqnmfx","0.95","INCORRECT","","0.5","INCORRECT","zbzquiuqnmfx","1.0","INCORRECT","zbzquiuqnmfx","0.98","INCORRECT","","0.5","INCORRECT","zbzquiuqnmfx","1.0","INCORRECT","zbzquiuqnmfx","0.99","INCORRECT","","0.5","INCORRECT"
"sample_119","def f(text):
    result = """"
    for i in range(len(text)):
        if i % 2 == 0:
            result += text[i].swapcase()
        else:
            result += text[i]
    return result","""vsnlygltaw""","'VsNlYgLtAw'","VsNlYgLtAw","1.0","CORRECT","VsNlYgLtAw","1.0","CORRECT","","0.5","INCORRECT","VsNlYgLtAw","1.0","CORRECT","VsNlYgLtAw","1.0","CORRECT","","0.5","INCORRECT","VsNlYgLtAw","1.0","CORRECT","VsNlYgLtAw","1.0","CORRECT","","0.5","INCORRECT","VsNlYgLtAw","1.0","CORRECT","VsNlYgLtAw","1.0","CORRECT","","0.5","INCORRECT","VsNlYgLtAw","1.0","CORRECT","VsNlYgLtAw","1.0","CORRECT","","0.5","INCORRECT"
"sample_120","def f(countries):
    language_country = dict()
    for country, language in countries.items():
        if language not in language_country:
            language_country[language] = []
        language_country[language].append(country)
    return language_country","{}","{}","{}","1.0","CORRECT","{}","1.0","CORRECT","","0.5","INCORRECT","{}","1.0","CORRECT","{}","1.0","CORRECT","","0.5","INCORRECT","{}","1.0","CORRECT","{}","1.0","CORRECT","","0.5","INCORRECT","{}","1.0","CORRECT","{}","1.0","CORRECT","","0.5","INCORRECT","{}","1.0","CORRECT","{}","1.0","CORRECT","","0.5","INCORRECT"
"sample_121","def f(s):
    nums = ''.join(filter(lambda c:c.isdecimal(), s))
    if nums == '': return 'none'
    m = max([int(num) for num in nums.split(',')])
    return str(m)","'01,001'","'1001'","1","1.0","INCORRECT","101","1.0","INCORRECT","","0.5","INCORRECT","1","1.0","INCORRECT","101","1.0","INCORRECT","","0.5","INCORRECT","1","1.0","INCORRECT","101","1.0","INCORRECT","","0.5","INCORRECT","1","1.0","INCORRECT","101","1.0","INCORRECT","","0.5","INCORRECT","1","1.0","INCORRECT","101","1.0","INCORRECT","","0.5","INCORRECT"
"sample_122","def f(string):
    if string[:4] != 'Nuva':
        return 'no'
    else:
        return string.rstrip()","'Nuva?dlfuyjys'","'Nuva?dlfuyjys'","'Nuva?dlfuyjys'","1.0","CORRECT","Nuva?dlfuyjys","1.0","CORRECT","","0.5","INCORRECT","'Nuva?dlfuyjys'","1.0","CORRECT","Nuva?dlfuyjys","1.0","CORRECT","","0.5","INCORRECT","'Nuva?dlfuyjys'","1.0","CORRECT","Nuva?dlfuyjys","1.0","CORRECT","","0.5","INCORRECT","'Nuva?dlfuyjys'","1.0","CORRECT","Nuva?dlfuyjys","1.0","CORRECT","","0.5","INCORRECT","'Nuva?dlfuyjys'","1.0","CORRECT","Nuva?dlfuyjys","1.0","CORRECT","","0.5","INCORRECT"
"sample_123","def f(array, elem):
    for idx, e in enumerate(array):
        if e > elem and array[idx - 1] < elem:
            array.insert(idx, elem)
    return array","[1, 2, 3, 5, 8], 6","[1, 2, 3, 5, 6, 8]","[1, 2, 3, 5, 6, 8]","1.0","CORRECT","[1, 2, 3, 5, 6, 8]","1.0","CORRECT","","0.5","INCORRECT","[1, 2, 3, 5, 6, 8]","1.0","CORRECT","[1, 2, 3, 5, 6, 8]","1.0","CORRECT","","0.5","INCORRECT","[1, 2, 3, 5, 6, 8]","1.0","CORRECT","[1, 2, 3, 5, 6, 8]","1.0","CORRECT","","0.5","INCORRECT","[1, 2, 3, 5, 6, 8]","1.0","CORRECT","[1, 2, 3, 5, 6, 8]","1.0","CORRECT","","0.5","INCORRECT","[1, 2, 3, 5, 6, 8]","1.0","CORRECT","[1, 2, 3, 5, 6, 8]","1.0","CORRECT","","0.5","INCORRECT"
"sample_124","def f(txt, sep, sep_count):
    o = ''
    while sep_count > 0 and txt.count(sep) > 0:
        o += txt.rsplit(sep, 1)[0] + sep
        txt = txt.rsplit(sep, 1)[1]
        sep_count -= 1
    return o + txt","'i like you', ' ', -1","'i like you'","'i like you'","1.0","CORRECT","i like you","1.0","CORRECT","","0.5","INCORRECT","'i like you'","1.0","CORRECT","i like you","1.0","CORRECT","","0.5","INCORRECT","'i like you'","1.0","CORRECT","i like you","1.0","CORRECT","","0.5","INCORRECT","'i like you'","1.0","CORRECT","i like you","1.0","CORRECT","","0.5","INCORRECT","'i like you'","1.0","CORRECT","i like you","1.0","CORRECT","","0.5","INCORRECT"
"sample_125","def f(text, res):
    for c in '*\n""':
        text = text.replace(c, '!' + str(res))
    if text.startswith('!'):
        text = text[len(str(res)):]
    return text","'""Leap and the net will appear', 123","'3Leap and the net will appear'","!123Leap and the net will appear","1.0","INCORRECT","!123and the net will appear","1.0","INCORRECT","","0.5","INCORRECT","!123Leap and the net will appear","1.0","INCORRECT","!123Leap and the net will appear","1.0","INCORRECT","","0.5","INCORRECT","!123Leap and the net will appear","1.0","INCORRECT","!123Leap and the net will appear","1.0","INCORRECT","","0.5","INCORRECT","!123Leap and the net will appear","1.0","INCORRECT","!123Leap and the net will appear","1.0","INCORRECT","","0.5","INCORRECT","!123Leap and the net will appear","1.0","INCORRECT","!123Leap and the net will appear","1.0","INCORRECT","","0.5","INCORRECT"
"sample_126","def f(text):
    s = text.rpartition('o')
    div, div2 = (s[0] == '' and '-' or s[0]), (s[2] == '' and '-' or s[2])
    return s[1] + div + s[1] + div2","'kkxkxxfck'","'-kkxkxxfck'","kxkxxfckkxkxxfck","1.0","INCORRECT","k-k","1.0","INCORRECT","","0.5","INCORRECT","kxkxxfckkxkxxfck","1.0","INCORRECT","k-k","1.0","INCORRECT","","0.5","INCORRECT","kxkxxfckkxkxxfck","1.0","INCORRECT","k-k","1.0","INCORRECT","","0.5","INCORRECT","kxkxxfckkxkxxfck","1.0","INCORRECT","k-k","1.0","INCORRECT","","0.5","INCORRECT","kxkxxfckkxkxxfck","1.0","INCORRECT","k-k","1.0","INCORRECT","","0.5","INCORRECT"
"sample_127","def f(text):
    s = text.splitlines()
    return len(s)","""145\n\n12fjkjg""","3","3","1.0","CORRECT","3","1.0","CORRECT","","0.5","INCORRECT","3","1.0","CORRECT","3","1.0","CORRECT","","0.5","INCORRECT","3","1.0","CORRECT","3","1.0","CORRECT","","0.5","INCORRECT","3","1.0","CORRECT","3","1.0","CORRECT","","0.5","INCORRECT","3","1.0","CORRECT","3","1.0","CORRECT","","0.5","INCORRECT"
"sample_128","def f(text):
    odd = ''
    even = ''
    for i, c in enumerate(text):
        if i % 2 == 0:
            even += c
        else:
            odd += c
    return even + odd.lower()","'Mammoth'","'Mmohamt'","Mmtaoh","1.0","INCORRECT","Mmaohft","1.0","INCORRECT","","0.5","INCORRECT","Mmtaoh","1.0","INCORRECT","Mmaohft","1.0","INCORRECT","","0.5","INCORRECT","Mmtaoh","1.0","INCORRECT","Mmaohft","1.0","INCORRECT","","0.5","INCORRECT","Mmtaoh","1.0","INCORRECT","Mmaohft","1.0","INCORRECT","","0.5","INCORRECT","Mmtaoh","1.0","INCORRECT","Mmaohft","1.0","INCORRECT","","0.5","INCORRECT"
"sample_129","def f(text, search_string):
    indexes = []
    while search_string in text:
        indexes.append(text.rindex(search_string))
        text = text[:text.rindex(search_string)]
    return indexes","'ONBPICJOHRHDJOSNCPNJ9ONTHBQCJ', 'J'","[28, 19, 12, 6]","[10, 14, 18, 22, 26]","1.0","INCORRECT","[31, 23, 15, 7, 0]","1.0","INCORRECT","","0.5","INCORRECT","[10, 14, 18, 22, 26]","1.0","INCORRECT","[31, 23, 15, 7, 0]","1.0","INCORRECT","","0.5","INCORRECT","[10, 14, 18, 22, 26]","1.0","INCORRECT","[31, 23, 15, 7, 0]","1.0","INCORRECT","","0.5","INCORRECT","[10, 14, 18, 22, 26]","1.0","INCORRECT","[31, 23, 15, 7, 0]","1.0","INCORRECT","","0.5","INCORRECT","[10, 14, 18, 22, 26]","1.0","INCORRECT","[31, 23, 15, 7, 0]","1.0","INCORRECT","","0.5","INCORRECT"
"sample_130","def f(m):
    items = list(m.items())
    for i in range(len(items)-2, -1, -1):
        tmp = items[i]
        items[i] = items[i+1] 
        items[i+1] = tmp
    return ['{}={}', '{1}={0}'][len(items) % 2].format(
        *m.keys(), **m
    )","{'l':4, 'h':6, 'o':9}","'h=l'","'h=6'","1.0","INCORRECT","o=9, h=6, l=4","1.0","INCORRECT","","0.5","INCORRECT","'h=6'","1.0","INCORRECT","o=9, h=6, l=4","1.0","INCORRECT","","0.5","INCORRECT","'h=6'","1.0","INCORRECT","o=9, h=6, l=4","1.0","INCORRECT","","0.5","INCORRECT","'h=6'","1.0","INCORRECT","o=9, h=6, l=4","1.0","INCORRECT","","0.5","INCORRECT","'h=6'","1.0","INCORRECT","o=9, h=6, l=4","1.0","INCORRECT","","0.5","INCORRECT"
"sample_131","def f(text):
    a = len(text)
    count = 0
    while text:
        if text.startswith('a'):
            count += text.find(' ')
        else:
            count += text.find('\n')
        text = text[text.find('\n')+1:text.find('\n')+a+1]
    return count","""a\nkgf\nasd\n""","1","0","1.0","INCORRECT","3","1.0","INCORRECT","","0.5","INCORRECT","0","1.0","INCORRECT","3","1.0","INCORRECT","","0.5","INCORRECT","0","1.0","INCORRECT","3","0.9","INCORRECT","","0.5","INCORRECT","0","1.0","INCORRECT","3","0.95","INCORRECT","","0.5","INCORRECT","0","1.0","INCORRECT","3","0.95","INCORRECT","","0.5","INCORRECT"
"sample_132","def f(a_str, prefix):
    if a_str.removeprefix(prefix):
        return a_str
    else:
        return prefix + a_str","'abc', 'abcd'","'abc'","'abcdabc'","1.0","INCORRECT","'abcdabc'","1.0","INCORRECT","","0.5","INCORRECT","'abcdabc'","1.0","INCORRECT","'abcdabc'","1.0","INCORRECT","","0.5","INCORRECT","'abcdabc'","1.0","INCORRECT","'abcdabc'","1.0","INCORRECT","","0.5","INCORRECT","'abcdabc'","1.0","INCORRECT","'abcdabc'","1.0","INCORRECT","","0.5","INCORRECT","'abcdabc'","1.0","INCORRECT","'abcdabc'","1.0","INCORRECT","","0.5","INCORRECT"
"sample_133","def f(nums, elements):
    result = []
    for i in range(len(elements)):
        result.append(nums.pop())
    return nums","[7, 1, 2, 6, 0, 2], [9, 0, 3]","[7, 1, 2]","[7, 1, 2, 6, 0, 2]","1.0","INCORRECT","[7, 1]","1.0","INCORRECT","","0.5","INCORRECT","[7, 1, 2, 6, 0, 2]","1.0","INCORRECT","[7, 1, 2]","1.0","CORRECT","","0.5","INCORRECT","[7, 1, 2, 6, 0, 2]","1.0","INCORRECT","[7, 1, 2, 6]","1.0","INCORRECT","","0.5","INCORRECT","[7, 1, 2, 6, 0, 2]","1.0","INCORRECT","[7, 1, 2]","1.0","CORRECT","","0.5","INCORRECT","[7, 1, 2, 6, 0, 2]","1.0","INCORRECT","[7, 1, 2, 6]","1.0","INCORRECT","","0.5","INCORRECT"
"sample_134","def f(n):
    t = 0
    b = ''
    digits = list(map(int, str(n)))
    for d in digits:
        if d == 0: t += 1
        else: break
    for _ in range(t):
        b += str(1) + '0' + str(4)
    b += str(n)
    return b","372359","'372359'","104372359","1.0","INCORRECT","1410410410410372359","1.0","INCORRECT","","0.5","INCORRECT","104372359","1.0","INCORRECT","1410410410410372359","1.0","INCORRECT","","0.5","INCORRECT","104372359","1.0","INCORRECT","1410410410410372359","1.0","INCORRECT","","0.5","INCORRECT","104372359","1.0","INCORRECT","1410410410410372359","1.0","INCORRECT","","0.5","INCORRECT","104372359","1.0","INCORRECT","1410410410410372359","1.0","INCORRECT","","0.5","INCORRECT"
"sample_135","def f():
    d = {
        'Russia': [('Moscow', 'Russia'), ('Vladivostok', 'Russia')],
        'Kazakhstan': [('Astana', 'Kazakhstan')],
    }
    return list(d.keys())","","['Russia', 'Kazakhstan']","['Russia', 'Kazakhstan']","1.0","CORRECT","['Russia', 'Kazakhstan']","1.0","CORRECT","","0.5","INCORRECT","['Russia', 'Kazakhstan']","1.0","CORRECT","['Russia', 'Kazakhstan']","1.0","CORRECT","","0.5","INCORRECT","['Russia', 'Kazakhstan']","1.0","CORRECT","['Russia', 'Kazakhstan']","1.0","CORRECT","","0.5","INCORRECT","['Russia', 'Kazakhstan']","1.0","CORRECT","['Russia', 'Kazakhstan']","1.0","CORRECT","","0.5","INCORRECT","['Russia', 'Kazakhstan']","1.0","CORRECT","['Russia', 'Kazakhstan']","1.0","CORRECT","","0.5","INCORRECT"
"sample_136","def f(text, width):
    lines = [line.center(width) for line in text.split('\n')]
    return '\n'.join(lines)","""a\nbc\n\nd\nef"", 5","'  a  \n  bc \n     \n  d  \n  ef '","  a  
 bc  
    
  d  
 ef  ","1.0","INCORRECT","  a   
 bc  
     
  d  
 ef  ","1.0","CORRECT","","0.5","INCORRECT","  a  
 bc  
    
  d  
 ef  ","1.0","INCORRECT","  a   
 bc  
     
  d  
 ef  ","1.0","CORRECT","","0.5","INCORRECT","  a  
 bc  
    
  d  
 ef  ","1.0","INCORRECT","  a   
 bc  
     
  d  
 ef  ","1.0","CORRECT","","0.5","INCORRECT","  a  
 bc  
    
  d  
 ef  ","1.0","INCORRECT","  a   
 bc  
     
  d  
 ef  ","1.0","CORRECT","","0.5","INCORRECT","  a  
 bc  
    
  d  
 ef  ","1.0","INCORRECT","  a   
 bc  
     
  d  
 ef  ","1.0","CORRECT","","0.5","INCORRECT"
"sample_137","def f(nums):
    count = 0
    for i in range(len(nums)):
        if len(nums) == 0:
            break
        if count % 2 == 0:
            nums.pop()
        else:
            nums.pop(0)
        count += 1
    return nums","[3, 2, 0, 0, 2, 3]","[]","[2, 0, 2]","1.0","INCORRECT","[0, 2]","1.0","INCORRECT","","0.5","INCORRECT","[2, 0, 2]","1.0","INCORRECT","[0, 2, 3]","0.9","INCORRECT","","0.5","INCORRECT","[2, 0, 2]","1.0","INCORRECT","[0, 2, 3]","0.95","INCORRECT","","0.5","INCORRECT","[2, 0, 2]","1.0","INCORRECT","[0, 2, 3]","0.9","INCORRECT","","0.5","INCORRECT","[2, 0, 2]","1.0","INCORRECT","[0, 2, 3]","0.95","INCORRECT","","0.5","INCORRECT"
"sample_138","def f(text, chars):
    listchars = list(chars)
    first = listchars.pop()
    for i in listchars:
        text = text[0:text.find(i)]+i+text[text.find(i)+1:]
    return text","'tflb omn rtt', 'm'","'tflb omn rtt'","'tflb omn rtt'","1.0","CORRECT","tflb omn rtt","1.0","CORRECT","","0.5","INCORRECT","'tflb omn rtt'","1.0","CORRECT","tflb omn rtt","1.0","CORRECT","","0.5","INCORRECT","'tflb omn rtt'","1.0","CORRECT","tflb omn rtt","1.0","CORRECT","","0.5","INCORRECT","'tflb omn rtt'","1.0","CORRECT","tflb omn rtt","1.0","CORRECT","","0.5","INCORRECT","'tflb omn rtt'","1.0","CORRECT","tflb omn rtt","1.0","CORRECT","","0.5","INCORRECT"
"sample_139","def f(first, second):
    if len(first) < 10 or len(second) < 10:
        return 'no'
    for i in range(5):
        if first[i] != second[i]:
            return 'no'
    first.extend(second)
    return first","[1, 2, 1], [1, 1, 2]","'no'","[1, 2, 1, 1, 1, 2]","1.0","INCORRECT","no","1.0","CORRECT","","0.5","INCORRECT","no","1.0","CORRECT","no","1.0","CORRECT","","0.5","INCORRECT","'no'","1.0","CORRECT","no","1.0","CORRECT","","0.5","INCORRECT","'no'","1.0","CORRECT","no","1.0","CORRECT","","0.5","INCORRECT","'no'","1.0","CORRECT","no","1.0","CORRECT","","0.5","INCORRECT"
"sample_140","def f(st):
    if st.lower().rindex('h', st.lower().rindex('i')) >= st.lower().rindex('i'):
        return 'Hey'
    else:
        return 'Hi'","'Hi there'","'Hey'","Hey","1.0","CORRECT","Hi","1.0","INCORRECT","","0.5","INCORRECT","Hey","1.0","CORRECT","Hey","1.0","CORRECT","","0.5","INCORRECT","Hey","1.0","CORRECT","Hey","1.0","CORRECT","","0.5","INCORRECT","Hey","1.0","CORRECT","Hey","1.0","CORRECT","","0.5","INCORRECT","Hey","1.0","CORRECT","Hey","1.0","CORRECT","","0.5","INCORRECT"
"sample_141","def f(li):
    return [li.count(i) for i in li]","['k', 'x', 'c', 'x', 'x', 'b', 'l', 'f', 'r', 'n', 'g']","[1, 3, 1, 3, 3, 1, 1, 1, 1, 1, 1]","[1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1]","1.0","INCORRECT","[1, 3, 1, 3, 3, 1, 1, 1, 1, 1, 1]","1.0","CORRECT","","0.5","INCORRECT","[1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1]","1.0","INCORRECT","[1, 3, 1, 3, 3, 1, 1, 1, 1, 1, 1]","1.0","CORRECT","","0.5","INCORRECT","[1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1]","1.0","INCORRECT","[1, 3, 1, 3, 3, 1, 1, 1, 1, 1, 1]","1.0","CORRECT","","0.5","INCORRECT","[1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1]","1.0","INCORRECT","[1, 3, 1, 3, 3, 1, 1, 1, 1, 1, 1]","1.0","CORRECT","","0.5","INCORRECT","[1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1]","1.0","INCORRECT","[1, 3, 1, 3, 3, 1, 1, 1, 1, 1, 1]","1.0","CORRECT","","0.5","INCORRECT"
"sample_142","def f(x):
    if x.islower():
        return x
    else:
        return x[::-1]","'ykdfhp'","'ykdfhp'","pkhfdy","1.0","INCORRECT","ykdfhp","1.0","CORRECT","","0.5","INCORRECT","pkhfdy","1.0","INCORRECT","ykdfhp","1.0","CORRECT","","0.5","INCORRECT","pkhfdy","1.0","INCORRECT","ykdfhp","1.0","CORRECT","","0.5","INCORRECT","pkhfdy","1.0","INCORRECT","ykdfhp","1.0","CORRECT","","0.5","INCORRECT","pkhfdy","1.0","INCORRECT","ykdfhp","1.0","CORRECT","","0.5","INCORRECT"
"sample_143","def f(s, n):
    return s.casefold() == n.casefold()","""daaX"", ""daaX""","True","True","1.0","CORRECT","True","1.0","CORRECT","","0.5","INCORRECT","True","1.0","CORRECT","True","1.0","CORRECT","","0.5","INCORRECT","True","1.0","CORRECT","True","1.0","CORRECT","","0.5","INCORRECT","True","1.0","CORRECT","True","1.0","CORRECT","","0.5","INCORRECT","True","1.0","CORRECT","True","1.0","CORRECT","","0.5","INCORRECT"
"sample_144","def f(vectors):
    sorted_vecs = []
    for vec in vectors:
        vec.sort()
        sorted_vecs.append(vec)
    return sorted_vecs","[]","[]","[]","1.0","CORRECT","[]","1.0","CORRECT","","0.5","INCORRECT","[]","1.0","CORRECT","[]","1.0","CORRECT","","0.5","INCORRECT","[]","1.0","CORRECT","[]","1.0","CORRECT","","0.5","INCORRECT","[]","1.0","CORRECT","[]","1.0","CORRECT","","0.5","INCORRECT","[]","1.0","CORRECT","[]","1.0","CORRECT","","0.5","INCORRECT"
"sample_145","def f(price, product):
    inventory = ['olives', 'key', 'orange']
    if product not in inventory:
        return price
    else:
        price *=.85
        inventory.remove(product)
    return price","8.50, 'grapes'","8.5","8.50","1.0","CORRECT","8.5","1.0","CORRECT","","0.5","INCORRECT","8.50","1.0","CORRECT","8.5","1.0","CORRECT","","0.5","INCORRECT","8.50","1.0","CORRECT","8.5","1.0","CORRECT","","0.5","INCORRECT","8.50","1.0","CORRECT","8.5","1.0","CORRECT","","0.5","INCORRECT","8.50","1.0","CORRECT","8.5","1.0","CORRECT","","0.5","INCORRECT"
